feedback_text,sentiment_label,source
You have to hold the phone at a particular angle for the other party to hear you clearly.,0,Amazon
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,Amazon
"A week later after I activated it, it suddenly died.",0,Amazon
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,Amazon
Great for iPODs too.,1,Amazon
This device is great in several situations:1.),1,Amazon
Mic Doesn't work.,0,Amazon
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,Amazon
Great choice!,1,Amazon
Nice docking station for home or work.,1,Amazon
This is a beautiful phone.,1,Amazon
Love this product.,1,Amazon
Do Not Buy for D807...wrongly advertised for D807.,0,Amazon
This is a great little item.,1,Amazon
"I love this phone , It is very handy and has a lot of features .",1,Amazon
I purchased this and within 2 days it was no longer working!!!!!!!!!,0,Amazon
I wear it everyday and it holds up very well.,1,Amazon
Not a good bargain.,0,Amazon
"Well packaged, arrived on time, and works as intended.",1,Amazon
The battery runs down quickly.,0,Amazon
"This item worked great, but it broke after 6 months of use.",0,Amazon
The headsets are easy to use and everyone loves them.,1,Amazon
This phone works great.,1,Amazon
The construction of the headsets is poor.,0,Amazon
Product was excellent and works better than the verizon one and Boy was it cheaper!,1,Amazon
The phone loads super!,1,Amazon
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,Amazon
Made very sturdy.,1,Amazon
Worked great!.,1,Amazon
The ear buds only play music in one ear.,0,Amazon
Dont waste your money...,0,Amazon
Will order from them again!,1,Amazon
If you plan to use this in a car forget about it.,0,Amazon
I found this product to be waaay too big.,0,Amazon
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,Amazon
I'm very disappointed with my decision.,0,Amazon
Integrated seamlessly with the Motorola RAZR phone.,1,Amazon
"Buyer Beware, you could flush money right down the toilet.",0,Amazon
Definitely a bargain.,1,Amazon
The price was very good and with the free shipping and all it was a good purchase.,1,Amazon
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,Amazon
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,Amazon
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,Amazon
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,Amazon
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,Amazon
I purcashed this for the car charger and it does not work.,0,Amazon
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,Amazon
This phone is slim and light and the display is beautiful.,1,Amazon
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,Amazon
"Great product, fast shipping!.",1,Amazon
Absolutely great.,1,Amazon
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,Amazon
i got this phone around the end of may and i'm completely unhappy with it.,0,Amazon
It is very comfortable on the ear.,1,Amazon
It has been a winner for us.,1,Amazon
)Setup couldn't have been simpler.,1,Amazon
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,Amazon
Could not get strong enough signal.,0,Amazon
Iam very pleased with my purchase.,1,Amazon
Bad Quality.,0,Amazon
Gets the job done.,1,Amazon
Great audio!.,1,Amazon
Basically the service was very bad.,0,Amazon
it did not work in my cell phone plug i am very up set with the charger!.,0,Amazon
"I've only had my bluetooth for a few weeks, but I really like it.",1,Amazon
The BT headset was such a disapoinment.,0,Amazon
It is so small and you don't even realize that it is there after a while of getting used to it.,1,Amazon
The accompanied software is almost brilliant.,1,Amazon
Headset works great & was packaged nicely to avoid any damage.,1,Amazon
!I definitly recommend!!,1,Amazon
Buyer--Be Very Careful!!!!!.,0,Amazon
The majority of the Logitech earbud headsets failed.,0,Amazon
Very good stuff for the price.,1,Amazon
My headset works just peachy-keen.,1,Amazon
In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,Amazon
Voice recognition is tremendous!,1,Amazon
What a waste.,0,Amazon
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,Amazon
I was not happy with this item.,0,Amazon
very disappointed.,0,Amazon
The phone takes FOREVER to charge like 2 to 5 hours literally.,0,Amazon
I got this phone on reccomendation from a relative and I'm glad I did.,1,Amazon
What a waste of time!,0,Amazon
Its reception is very very poor.,0,Amazon
Items stated as included from the description ARE NOT INCLUDED.,0,Amazon
"After 3 months, screen just went black all of a sudden.",0,Amazon
I Was Hoping for More.,0,Amazon
"Audio Quality is poor, very poor.",0,Amazon
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,Amazon
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,Amazon
I've bought $5 wired headphones that sound better than these.,0,Amazon
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,Amazon
"Nice quality build, unlike some cheap s*** out there.",1,Amazon
This item is fantastic and works perfectly!,1,Amazon
And I just love the colors!,1,Amazon
W810i is just SUPERB.,1,Amazon
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,Amazon
Great charger.,1,Amazon
This is essentially a communications tool that does not communicate.,0,Amazon
Works like a charm; it work the same as the one I got with the phone.,1,Amazon
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,Amazon
Great Value.,1,Amazon
Doesn't work at all.. I bougth it for my L7c and its not working.,0,Amazon
"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,Amazon
doesn't last long.,0,Amazon
One thing I hate is the mode set button at the side.,0,Amazon
EXCELLENT SERVICE!!!!!!!!.,1,Amazon
Thank you for wasting my money.,0,Amazon
How can that be?The audio quality is poor.,0,Amazon
The iGo chargers and tips are really great.,1,Amazon
The file browser offers all the options that one needs.Handsfree is great.,1,Amazon
Superb Phone on a Great Network.,1,Amazon
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,Amazon
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,Amazon
It only recognizes the Phone as its storage device.,0,Amazon
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,Amazon
Don't buy this product.,0,Amazon
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,Amazon
The sound quality is good and functionality is awesome.,1,Amazon
"I have this phone and it is a thorn in my side, I really abhor it.",0,Amazon
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,Amazon
Incredible!.,1,Amazon
Design Flaw?.,0,Amazon
Great phone!.,1,Amazon
Waste of 13 bucks.,0,Amazon
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,Amazon
The replacement died in a few weeks.,0,Amazon
Any ring tone..Overall good phone to buy..,1,Amazon
Lately they have been extremely nice and helpful on the phone.,1,Amazon
I have had problems wit hit dropping signal and more.,0,Amazon
Not impressed.,0,Amazon
"Light weight, I hardly notice it is there.",1,Amazon
You'll love how thin it is.,1,Amazon
Bad Choice.,0,Amazon
The pleather case doesn't fit.,0,Amazon
"useless phone, simply deaf.",0,Amazon
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,Amazon
All in all I think it was a good investment.,1,Amazon
It makes very strange ticking noises before it ends the call.,0,Amazon
The best electronics of the available FM Transmitters.,1,Amazon
Battery lasts only a few hours.,0,Amazon
"great headset, very impressed - H500.",1,Amazon
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,Amazon
I've had this for nearly 2 years and it has worked great for me.,1,Amazon
Good transmit audio.,1,Amazon
We are sending it back.,0,Amazon
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,Amazon
"If you hate earbugs, avoid this phone by all means.",0,Amazon
Great price also!,1,Amazon
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,Amazon
fast service.,1,Amazon
I would highly recommend this.,1,Amazon
I would recommend this.,1,Amazon
"I also didn't like the ""on"" button, it felt like it would crack with use.",0,Amazon
WORST PHONE EVER.,0,Amazon
I'm still infatuated with this phone.,1,Amazon
Freezes frequently4.,0,Amazon
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,Amazon
"Simple, lightweight and great fit.",1,Amazon
"All in all, I'd expected a better consumer experience from Motorola.",0,Amazon
There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,Amazon
These are certainly very comfortable and functionality is decent.,1,Amazon
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,Amazon
I'm a bit disappointed.,0,Amazon
"I have had this phone for over a year now, and I will tell you, its not that great.",0,Amazon
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,Amazon
The battery is completely useless to me.,0,Amazon
What a big waste of time.,0,Amazon
Don't waste your $$$ on this one.,0,Amazon
Great sound and service.,1,Amazon
Really pleased with this product so far.,1,Amazon
One of my favorite purchases ever.,1,Amazon
best bluetooth on the market.,1,Amazon
Authentic leather with nice shine and comfort .I recommend you this case !!,1,Amazon
I was very excited to get this headset because I thought it was really cute.,1,Amazon
Do not make the same mistake as me.,0,Amazon
Big Disappointment with calendar sync.,0,Amazon
the phone was unusable and was not new.,0,Amazon
Worst Customer Service Ever.,0,Amazon
"No additional ear gels provided, and no instructions whatsoever.",0,Amazon
It defeats the purpose of a bluetooth headset.,0,Amazon
Worth every penny.,1,Amazon
Excellent wallet type phone case.,1,Amazon
Nice headphones for the price and they work great!,1,Amazon
Internet is excrutiatingly slow.,0,Amazon
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,Amazon
"It's fits like a glove and is strong, secure, and durable.",1,Amazon
O my gosh the best phone I have ever had.,1,Amazon
It's very attractive and appears to be of good quality.,1,Amazon
I love all the features and form factor.,1,Amazon
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,Amazon
poor quality and service.,0,Amazon
"The cable looks so thin and flimsy, it is scary.",0,Amazon
Great Earpiece.,1,Amazon
Excellent hands free tool.,1,Amazon
Great for using with your home stereo.,1,Amazon
Good product - incredible value.,1,Amazon
Only had this a month but it's worked flawlessly so far.,1,Amazon
Works great.,1,Amazon
Absolutel junk.,0,Amazon
THAT one didn't work either.,0,Amazon
Battery life is real good.,1,Amazon
Returned 8 hours later.,0,Amazon
It's a great item.,1,Amazon
Don't waste your money!.,0,Amazon
Love this headset!,1,Amazon
"Not only will it drain your player, but may also potentially fry it.",0,Amazon
Worked perfectly!,1,Amazon
Unreliable - I'm giving up.,0,Amazon
I gave it 5 stars because of the sound quality.,1,Amazon
Avoid this one if you can.,0,Amazon
Reversible plug works great.,1,Amazon
I wasted my little money with this earpiece.,0,Amazon
Very good phone.,1,Amazon
"Best of all is the rotating feature, very helpful.",1,Amazon
Comfort for our whole family.,1,Amazon
"Good product, good seller.",1,Amazon
I love this bluetooth!,1,Amazon
"First of all, it doesn't wear well.",0,Amazon
I am very impressed with this headset from Plantronics.,1,Amazon
I got it because it was so small and adorable.,1,Amazon
Great phone!.,1,Amazon
I wouldn't recommend buying this product.,0,Amazon
Piece of Junk.,0,Amazon
Poorly contstruct hinge.,0,Amazon
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,Amazon
Great Phone.,1,Amazon
Don't buy it.,0,Amazon
Excellent Phone.,1,Amazon
DO NOT PURCHASE THIS PHONE.,0,Amazon
The voice recognition thru the handset is excellent.,1,Amazon
This is hands down the best phone I've ever had.,1,Amazon
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,Amazon
This one works and was priced right.,1,Amazon
Customer service was terrible.,0,Amazon
Battery life still not long enough in Motorola Razor V3i.,0,Amazon
Sending it back.,0,Amazon
Now I know that I made a wise decision.,1,Amazon
Someone shouldve invented this sooner.,1,Amazon
Good price.,1,Amazon
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,Amazon
I received it quickly and it works great!!,1,Amazon
Has been working great.,1,Amazon
"As many people complained, I found this headset's microphone was very weak.",0,Amazon
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,Amazon
They do not care about the consumer one bit.,0,Amazon
"This is a good battery, and it got here really fast.",1,Amazon
The instruction manual is lacking.,0,Amazon
Also its slim enough to fit into my alarm clock docking station without removing the case.,1,Amazon
Phone now holds charge like it did when it was new.,1,Amazon
The battery is unreliable as well as the service use antena.,0,Amazon
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,Amazon
We have gotten a lot of compliments on it.,1,Amazon
This is definitely a must have if your state does not allow cell phone usage while driving.,1,Amazon
I want my money back.,0,Amazon
I love this device.,1,Amazon
I am also very happy with the price.,1,Amazon
I ordered this product first and was unhappy with it immediately.,0,Amazon
The Ngage is still lacking in earbuds.,0,Amazon
I was able to do voice dialing in the car with no problem.,1,Amazon
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,Amazon
"good item, low price.",1,Amazon
"However-the riingtones are not the best, and neither are the games.",0,Amazon
The plug did not work very well.,0,Amazon
AMAZON SUCKS.,0,Amazon
Rip off---- Over charge shipping.,0,Amazon
VERY comfortable.,1,Amazon
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,Amazon
The reception is excellent!,1,Amazon
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,Amazon
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,Amazon
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,Amazon
Obviously there is a problem with the adhesive.,0,Amazon
Very disappointing.,0,Amazon
"It was an inexpensive piece, but I would still have expected better quality.",0,Amazon
It is practically useless and did not add any kind of boost to my reception after I bought it.,0,Amazon
Excellent sound quality.,1,Amazon
Was not happy.,0,Amazon
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,Amazon
New Battery works great in phone.,1,Amazon
Worst customer service.,0,Amazon
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,Amazon
Reception is terrible and full of static.,0,Amazon
Good audio quality.,1,Amazon
This little device has transformed my organizational capability and made my life a whole lot easier.,1,Amazon
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,Amazon
Were JERKS on the phone.,0,Amazon
Works like a charm.. Works as advertised.,1,Amazon
"Comfortable, Nice Range, Good Battery Life.",1,Amazon
Their network coverage in Los Angeles is horrible.,0,Amazon
Excellent starter wireless headset.,0,Amazon
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,Amazon
The only thing that I think could improve is the sound leaks out from the headset.,0,Amazon
"First off the reception sucks, I have never had more than 2 bars, ever.",0,Amazon
The phone gets EXTREMELY HOT!,0,Amazon
"The microphone also works well, but (according to people I have called) it applifies everything.",1,Amazon
Nice design and quality.,1,Amazon
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,Amazon
"It is light, easy to use, and has very clear reception and transmission.",1,Amazon
"bad fit, way too big.",0,Amazon
It definitely was not as good as my S11.,1,Amazon
awesome device.,1,Amazon
Waste of money.,0,Amazon
"I had ordered a motorola data cable, got a very well finished and working product.",1,Amazon
Love This Phone.,1,Amazon
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1,Amazon
"I'll be drivng along, and my headset starts ringing for no reason.",0,Amazon
Display is excellent and camera is as good as any from that year.,1,Amazon
Battery life is also great!,1,Amazon
The worst phone I've ever had.... Only had it for a few months.,0,Amazon
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0,Amazon
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0,Amazon
Protects the phone on all sides.,1,Amazon
This is a VERY average phone with bad battery life that operates on a weak network.,0,Amazon
"Clear Skype Calls, Long Battery Life, Long Range.",1,Amazon
Soyo technology sucks.,0,Amazon
Great Hands Free Device.,1,Amazon
"you can even take self portraits with the outside (exterior) display, very cool.",1,Amazon
Same problem as others have mentioned.,0,Amazon
After trying many many handsfree gadgets this is the one that finally works well.,1,Amazon
Magical Help.,1,Amazon
The worst piece of crap ever along with the Verizon customer service.,0,Amazon
Poor sound quality.,0,Amazon
The best phone in market :).,1,Amazon
It worked very well.,1,Amazon
The company shipped my product very promptly and it works well.,1,Amazon
Exactly what I wanted.,1,Amazon
The picture resolution is far below what other comparably-priced phones are offering today.,0,Amazon
This is a great deal.,1,Amazon
"Excellent product, I am very satisfied with the purchase.",1,Amazon
I highly recommend these and encourage people to give them a try.,1,Amazon
Better than you'd expect.,1,Amazon
"Using all earpieces, left or right, this thing will not stay on my ear.",0,Amazon
Great product and price.,1,Amazon
"Sounds good reasonably priced and effective, Its that simple !",1,Amazon
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0,Amazon
what a disappointment,0,Amazon
Very prompt service.,1,Amazon
Excellent product for the price.,1,Amazon
Very pleased with this headset.,1,Amazon
don't waste your money and time.,0,Amazon
I especially love the long battery life.,1,Amazon
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0,Amazon
Works great.,1,Amazon
Plantronics Bluetooth Excelent Buy.,1,Amazon
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0,Amazon
I'll be looking for a new earpiece.,0,Amazon
I highly recommend this device to everyone!,1,Amazon
Jawbone Era is awesome too!,1,Amazon
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0,Amazon
After a year the battery went completely dead on my headset.,0,Amazon
"I have used several phone in two years, but this one is the best.",1,Amazon
An Awesome New Look For Fall 2000!.,1,Amazon
This is the first phone I've had that has been so cheaply made.,0,Amazon
"Att is not clear, sound is very distorted and you have to yell when you talk.",0,Amazon
The plastic breaks really easy on this clip.,0,Amazon
Price is good too.,1,Amazon
Don't make the same mistake I did.,0,Amazon
Oh and I forgot to also mention the weird color effect it has on your phone.,0,Amazon
I'm using it with an iriver SPINN (with case) and it fits fine.,1,Amazon
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0,Amazon
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1,Amazon
"every thing on phone work perfectly, she like it.",1,Amazon
"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0,Amazon
IT'S REALLY EASY.,1,Amazon
My Sanyo has survived dozens of drops on blacktop without ill effect.,1,Amazon
Fantastic earphones.,1,Amazon
It finds my cell phone right away when I enter the car.,1,Amazon
Low Quality.,0,Amazon
I highly recommend this modest priced cellular phone.,1,Amazon
But it does get better reception and clarity than any phone I've had before.,1,Amazon
Warning - Stay away.,0,Amazon
I wish I could return the unit and get back my money.,0,Amazon
Awsome Device Works Great!!.,1,Amazon
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0,Amazon
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0,Amazon
Very Displeased.,0,Amazon
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0,Amazon
They made this case too small and is very difficult to install.,0,Amazon
Restored my phone to like new performance.,1,Amazon
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1,Amazon
"I searched the Internet, and found this one to be the best value.",1,Amazon
Does not fit.,0,Amazon
Very happy with this product.,1,Amazon
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1,Amazon
There's really nothing bad I can say about this headset.,0,Amazon
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1,Amazon
Portable and it works.,1,Amazon
"My colleague & I now get great reception.A little expensive, but performance is great.",1,Amazon
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0,Amazon
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0,Amazon
Not good when wearing a hat or sunglasses.,0,Amazon
Timely shipment and quality product.,1,Amazon
Nice solid keyboard.,1,Amazon
Very well made and fits my Surefire GX2 perfectly.,1,Amazon
Horrible phone.,0,Amazon
BT50 battery junk!.,0,Amazon
We would recommend these to others.,1,Amazon
Cant get the software to work with my computer.,0,Amazon
Disappointed!.,0,Amazon
poor voice clarity.,0,Amazon
The battery works great!,1,Amazon
No buyers remorse on this one!.,0,Amazon
Very disappointed in AccessoryOne.,0,Amazon
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0,Amazon
"Looks great and is strong.""",1,Amazon
"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1,Amazon
The update procedure is difficult and cumbersome.,0,Amazon
Disappointment.. I hate anything that goes in my ear.,0,Amazon
Great software for Motorolas.,1,Amazon
The delivery was on time.,1,Amazon
Very easy to use.,1,Amazon
"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",0,Amazon
The volume switch rocketed out of the unit to a destination unknown.,0,Amazon
"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1,Amazon
I'd like to return it.,0,Amazon
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1,Amazon
"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0,Amazon
"After charging overnight, these batteries work great.",1,Amazon
You won't regret it!,1,Amazon
I love this phone!.,1,Amazon
A Disappointment.,0,Amazon
Its not user friendly.,0,Amazon
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0,Amazon
"Then I exchanged for the same phone, even that had the same problem.",0,Amazon
This results in the phone being either stuck at max volume or mute.,0,Amazon
This PDA rocks.,1,Amazon
"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1,Amazon
"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1,Amazon
I had Verizon 2 years ago and really liked their service.,1,Amazon
Pretty piece of junk.,0,Amazon
Plug was the wrong size.,0,Amazon
Works as described.,1,Amazon
Save your money.... I've had this item for 11 months now.,0,Amazon
Bad Purchase.,0,Amazon
WELL IM SATISFIED.,1,Amazon
"The bose noise cancelling is amazing, which is very important for a NYC commuter.",1,Amazon
This battery is an excellent bargain!,1,Amazon
Defective crap.,0,Amazon
I would have given no star if I was able.,0,Amazon
I wear glasses and it fits fine with them.,1,Amazon
"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",0,Amazon
I would not recommend this item to anyone.,0,Amazon
The holster that arrived did not match the photo in the ad.,0,Amazon
great...no problems at all!.,1,Amazon
"As an earlier review noted, plug in this charger and nothing happens.",0,Amazon
This frog phone charm is adorable and very eye catching.,1,Amazon
You never know if you pushed it hard enough or the right number of times for the function you want or not.,0,Amazon
The sound is clear and the people I talk to on it are amazed at the quality too.,1,Amazon
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1,Amazon
"very good product, well made.",1,Amazon
Mobile Phone Tools are a must have.,1,Amazon
I am very impressed with the job that Motorola did on the sturdiness of this phone.,1,Amazon
"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1,Amazon
The phone is sturdy and waterproof.,1,Amazon
I am not impressed with this and i would not recommend this item to anyone.,0,Amazon
My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0,Amazon
Thanks again to Amazon for having the things I need for a good price!,1,Amazon
I ended up sliding it on the edge of my pants or back pockets instead.,1,Amazon
I had to go to a store and bought a new NOKIA phone which is working great.,1,Amazon
Works great!.,1,Amazon
REALLY UGLY.,0,Amazon
"horrible, had to switch 3 times.",0,Amazon
The noise shield is incrediable.,1,Amazon
No real improvement.,0,Amazon
Razr Battery - Good buy.,1,Amazon
Keep up the good work Amazon!!,1,Amazon
They refuse to refund or replace.,0,Amazon
Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0,Amazon
So I basically threw my money out the window for nothing.,0,Amazon
Great case and price!,1,Amazon
All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0,Amazon
"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",1,Amazon
"Small, sleek, impressive looking, practical setup with ample storage in place.",1,Amazon
The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1,Amazon
none of the new ones have ever quite worked properly.,0,Amazon
I am glad I purchased it.,1,Amazon
